Комментарии,Эмоциональная окраска
Доступ к видео,Нейтральная
невозможно скачивать видео,Негативная
Идите нахой,Негативная
Регистрция очень долго(*,Негативная
Зачем регаться? Я не хотел ,Негативная
"Трудно понять надо попроще одно и тоже я не поимуможет разное афо о ублогеров одинаковое надо недели или цифрыне вошол мне писать месяца а больше я не знаю вошолмне на телевизоре713791 а тут через незнаю телефон вошол по другому клину что прислали
",Негативная
не грузит,Негативная
"канал пропал
",Негативная
Процесс регистрации,Нейтральная
Не приходил код долго ,Негативная
"если дали код, то зачем прошлогодний высветился? Его я и ввела, теперь не могу зайти",Негативная
"не прогружаются видео уже четыре дня
",Негативная
Фу где гугл аккаунт,Негативная
Не грузит сайт ,Негативная
Скорость,Мусор
перебои долго грузит,Негативная
Ни х... Ничего не понятно,Нейтральная
Не грузит,Негативная
вылетает постоянно,Негативная
всё,Мусор
сами знаете,Мусор
Не загружается передача звёзды в Африке уже второй день не могу посмотреть ,Негативная
Сделать проще,Негативная
зачем вам мои данные?,Нейтральная
"Почему по номеру телефона меня всё время ""регистрирует"" в новый канал, хотя у меня есть свой, привязанный к этому телефону?",Нейтральная
Всё ,Мусор
Долго,Негативная
Не грузится ничего ,Негативная
Очень долго,Негативная
"не загружается видео 2 день

",Негативная
👎,Негативная
Надо ещё работать над проектом!,Негативная
Зависает на Хонор без гугл-сервисов. Не переходит по ссылке активации через вконтакте. Не загружает до конца страницу мультипасс,Негативная
Нет перемотки видео,Негативная
Не грузятся видео ,Негативная
терпимо,Нейтральная
Не грузит,Негативная
Все,Мусор
Не показывает ,Негативная
Видео не включается и даже не загружается ,Негативная
не воспроизводятся видео,Негативная
Ужасно. Мешает смотреть видео!!!!!!!!,Негативная
"
Сбилась со счета, сколько раз пришлось вводить проверочные фразы!",Негативная
не загружается сайт,Негативная
У меня не воспроизводится видео на Маке!,Негативная
"Всё очень сложно
",Негативная
Всё,Мусор
"Для чего нужно указывать номер телефона или почты? Оставлять комментарии я могу под видеороликом, если сочту нужным.",Негативная
медленно грузит видео,Негативная
"часто надпись, что закончились права на показ этого видео
",Негативная
не включается ни одно видео,Негативная
Всё ,Мусор
придумать пароль,Нейтральная
"Не очень понятно, еле сориентировалась",Негативная
Простому и меньше смешанной информации,Негативная
"загрузку видео
",Нейтральная
Не понятно где какой код ,Нейтральная
lдолго и нудно,Негативная
Очень долго,Негативная
Замудрена,Негативная
"Не люблю рекламу, мешает.
",Негативная
Не грузит,Негативная
все,Мусор
не успеваю ввести код,Негативная
Не грузит видел,Негативная
Не реагирует на код,Негативная
Время отправления смс,Нейтральная
Надоели опросы и обучение ,Негативная
Все удобно,Позитивная
Долго!!,Негативная
время действия кода,Нейтральная
Яндекс почту,Негативная
Говно,Негативная
Yes,Мусор
Сделать проще,Негативная
Линейность в регистрации.,Нейтральная
Не возможно смотреть сиырые видеоролик ,Негативная
"Создать специальное приложение гипертоников,. А лучше его назвать здоровых бывших гипертоников!",Мусор
иди нах,Негативная
Без кода,Нейтральная
фигны руЮб,Негативная
На ютубе никакой регистрации не требуется,Негативная
Непонятно,Нейтральная
Слишком быстро даже не успела прочесть что то повтрить  через 10 сек  - что и где. Я зарегистрирована или нет?,Позитивная
???,Мусор
"не сразу пришел код, лишний выбор и нажатие на кнопку, лучше сразу отправлять на телефон. 10секунд ждал подтверждения кода, чуть не перезагрузил страницу. ",Негативная
"долго приходит код подтверждения
",Негативная
"Восьмерку или плюс семь могли бы и установить, ничего не поясняется, больше ставить не буду - я зла. ",Негативная
Не грузит,Негативная
Гавно,Негативная
Если регистрироваться по эл. почте то кода не дождаться.УСКОРЬТЕ регистрацию по эл.почте,Негативная
сайт на макбуке не работает,Негативная
"я хотел зайти быстро через гугл аккаунт, но для чего то нужно было бесполезное письмо с кодом, которое еще и не приходило",Нейтральная
Не работает ,Негативная
ниче не грузит ,Негативная
Ждите девочки единиц,Мусор
очень плохо,Негативная
"Новый Код не пришёл, а тот который пришёл не подошёл, после ввода ничего не происходит ",Негативная
Меньше капчи!,Негативная
",для меня  проблема зарегистрироваться,,для меня он слишком молодой или я для него старая. Шучю, а на самом деле мне 72 года.",Негативная
"Тормозная схема. Долго приходят смски
",Негативная
。для людей которые плохо разбираются в компьютере входить сложно ! ,Негативная
😁,Позитивная
нет звука,Негативная
не грузит ничего,Негативная
Скорость,Мусор
Проще хочется,Негативная
не грузится видео уже неделю,Негативная
Убрать пекламу,Негативная
почему ваш долбанный рутуб никогда ничего не грузит????,Негативная
"не открывает видео к просмотру
",Негативная
Не грузится ,Негативная
нет видео по запросу,Негативная
не. грузятся видео ,Негативная
не могу скачать видео,Негативная
Рутуб не работает,Негативная
Не включаются видео!,Негативная
Не загружаются видео ,Негативная
не грузит,Негативная
Очень долго! ,Негативная
Слишком много вопросов ,Нейтральная
"Полный дебилизм
",Негативная
"Пусть эти единици вернутся Вам.Работайте над собой, чтобы выйти в финал, а не снижайте чужие баллы. Это низко, как сказал Олег. ",Мусор
Нечего не грузится,Негативная
Не всё понятно,Нейтральная
Все ,Мусор
Надо упростить. Три раза ждала пароль. ,Негативная
"вообще не проигрывает! крутится колесо и все и видео не работает 
",Негативная
Всё,Мусор
"ой ,не обращайте внимания, в моем возрасте все сложно...",Мусор
"На протяжении 16 дней (начал 19 марта до 4 апреля сего ) я мучился с процессом регистрации,, записи зкрана с неудачным попытками посылал вам по ""Вк"". Появилось полное отвращение к этому делу уже в первый день после свыше 20 попыток..! Спустя пол года (7 месяцев) когда отвращение стихло только что попробовал, но до конца пока не довёл. Даже не верится, кажется получилось...",Негативная
Данные ,Мусор
"Устранить вылеты из аккаунта! Надоело. Допилите мобильную версию, чтобы можно было использовать чат. Не у всех есть возможность таскать с собой что-то, 
кроме телефона :/ И добавьте функции для модерирования с любых устройств ",Негативная
Целую неделю невозможно подключиться к Рутуб а раньшебыла отличная связь .,Негативная
ввод номера телефона без 8 или без +7,Нейтральная
"Очень громоздко, лучше попроще",Негативная
все,Мусор
всё!!!!!,Мусор
I LOVE IT,Мусор
логин откуда взялся такой?,Нейтральная
"не нужно привязывать подписку к личной почте.трудоемко.Зачем?
",Негативная
Вообще нужно регистрироваться.,Нейтральная
"Упростить, многоступенчато",Негативная
"Код автоматом не ставился, мучился искать как в ручную
",Негативная
Нанять нормальных программистов и починить двухэтапку,Негативная
Всё,Мусор
Скорость ,Мусор
=,Мусор
Не плохо ,Нейтральная
убрать  регистрацию !!!!!!!!!!!!!,Негативная
"Я вынуждена каждый день заходить в аккаунт заново, так как выкидывает из аккаунта на телевизоре",Негативная
Бесполезное видео,Негативная
Долго грузит,Негативная
Скорость работы.,Нейтральная
не совсем понятно куда сразу заходить,Негативная
нах,Мусор
Упростить процедуру ,Негативная
Вообще не нужна!!!,Негативная
А кто это контролирует?,Нейтральная
"Не нравится, слишком долго обьясняет",Негативная
english version :-),Мусор
не включается ни одна передача,Негативная
У меня уже минут 10 не грузит видео! ,Негативная
где большой экран,Нейтральная
Что бы нормально приходило сообщение на ВК,Нейтральная
Fff,Мусор
не грузит видео,Негативная
Не воспроизводится видео,Негативная
"Вынужденная регистрация, блокирует сайты, ничего не посмотреть",Негативная
Подписаться без лишних регистраций,Нейтральная
ne gryzit psina,Мусор
dkfcnm,Мусор
чачем код при заходе через соцсети,Нейтральная
"мне звонили маньяки!!!
",Мусор
Не грузится ,Негативная
"информация старая
",Негативная
"Гавно полное
",Негативная
"где мои экстрасенсы
",Нейтральная
Хостинг не открывается. ,Негативная
Да вообще проблемы посмотреть ,Негативная
Gg,Мусор
"Улучшение воспроизведения ваших роликов. Полчаса загрузится не может, отстой полный, а не рутьюб",Негативная
"Вообще не пойму, произошла ли регистрация",Негативная
Зарегистрироваться через почту не получилось,Негативная
"Ужасно это не то,мне лутше знать совместимость знаков!",Негативная
вам думать,Мусор
"Отзываю согласия, на обработку персональных данных.",Негативная
"письмо на почту не пришло, а смс пришло быстро, вывод один выманивание номера телефона, теперь спам звонков добавится.",Негативная
Всё,Мусор
"Гецати строит из себя ""правильного"". БЕСИТ! При этом очень некрасиво поступает с людьми. Унижал Марьяну, наезжал на Диму, Шепса. Ставил заниженные баллы. Получил по заслугам, но стал жертвой. Самая хитрюга проекта- Виктория! Шепс старший хорош, но никак не угомонится. Сашенька, не поддавайся провокациям. Делай свое дело на высоте и смотри со стороны. Пусть другие захлебываются в своей желчи. Береги отношения с братом. Он хороший. ",Мусор
"периодически ""забывает"" пароль",Негативная
Вторую неделю не открывает видео,Негативная
act,Мусор
dhtvz,Мусор
какого хера не работает видео алее,Негативная
Хуйня,Негативная
"нет звука.
",Негативная
Болит шея . Повысилось давление ,Мусор
не пришло письмо на почту,Негативная
Проще надо быть ,Мусор
Не возможно зайти,Негативная
"На мой е-мейл ваш код не пришёл припопвтке регистрации, только на телефон вышло ",Негативная
Не открывается,Негативная
Ha,Мусор
"Я не могу выйти на лекцию, которую хотела послушать",Негативная
Логистику сайта ,Нейтральная
не грузит серии.,Негативная
"звука нет
",Негативная
Не открывает,Негативная
. ,Мусор
Всё,Мусор
меньше условий,Негативная
незнаю,Нейтральная
 Более точно давайте инструкции,Негативная
ничегооо не грузит,Негативная
"не работает сайт, ни одно видео не прогружается",Негативная
Сука! Убийца дитя! Тварь! На рудники её!,Мусор
"Нужно регистрироваться чтобы поставить лайк, отдаляет пользователя от действия ",Негативная
"Nice
",Мусор
Ji89,Мусор
Запутанно,Негативная
" Не выйти из приложения о регистрации что бы посмотреть код на почте, приходиться заново вводить почту.",Негативная
я только зарегистрировался.. вы ебанутые спрашивать?,Нейтральная
Не загружаются видео,Негативная
подключение плохое,Негативная
Долго,Негативная
с 5го раза,Негативная
Не грузит ничего,Негативная
Много лишнего,Негативная
 тихий звук,Негативная
Не загружается видео. ,Негативная
не грузяться видео,Негативная
зачем все это?,Нейтральная
я не успеваю зайти за кодом подтверждения на mail.ru,Негативная
Все,Мусор
Все,Мусор
Можно сделать проще,Негативная
Faster,Мусор
Долгая регистрация ,Негативная
Слишком муторно,Негативная
 Ускорить получение кода на почту,Негативная
код не рабочий,Негативная
"Войти не возможно
",Негативная
Надо бы упростить... ,Негативная
с включеным адблоком не работает,Негативная
никнейм ,Мусор
"Много непонятного
",Негативная
"Очень сложно для пожилых,помощников нет близко",Негативная
не работает с мака,Негативная
"dct
",Мусор
Сложно найти регистрацию ,Негативная
Звук,Мусор
В телевизоре код 6 цифровый !Хочу скачять на smart tv !,Нейтральная
Ужас,Негативная
нет регистрации через гугл-аккаунт,Негативная
"Вопрос!!!!!! Приезжал ВАШ  оператор в гимназию 5.
Было у ребят посвещение в кадеты 16 ноября...ИИИ?????  После было  собрание родитетильское, но оно было позже!!!!! И ОНО ЕСТЬ В НОСТЯХ.А О ПОСВЕЩЕНИИ РЕБЯТ НИ СЛОВА!! ЭТО КАК😡.А РЕБЯТА ЖДУТ!!!!!!!! ",Мусор
"Я уже была зарегистрирована,но мне показывают,что это не так. Все слетевшее, заново нужна регистрация, бред какой-то. Нормальной работы рутьюба так и нет",Негативная
Пять раз ввёл проверочные слова.,Негативная
На русском ютубе пропагадна украины!!!! ,Негативная
"еще не проверил

",Нейтральная
"Сегодня находит Ярче звезд, завтра не находит... странный поиск ",Негативная
Долго загружается ,Негативная
"зАЧЕМ КОД,ЕСЛИ РЕГИСТРАЦИЯ ПРОХОДИЛА ЧЕРЕЗ ЯНДЕКС АККАУНТ?",Нейтральная
Евгений ,Мусор
писька писька попа попа ,Мусор
Почему по региону Беларусь убрали Россия1 и Россия 24?,Нейтральная
"не могу зайти на прямой эфир россия 1
",Негативная
"Машина 3,5 Т нету Mercedes Sprinter",Мусор
упростить,Негативная
не могу привязать номер телефона РБ,Негативная
Моё местоположение ни к чему. ,Негативная
Прекратите показывать одну и туже рекламу,Негативная
Долго,Негативная
не удалось зарегистрироваться со старым адресом. Пришлось заводить новую почту яндекс.,Негативная
"Слишком мудрено, разве нельзя просто нажать на колокольчик? ",Негативная
все суперрррр ,Позитивная
работать надо,Негативная
невнятно как-то ,Негативная
Упростить,Негативная
Х знает,Нейтральная
Ничего не понятно ,Нейтральная
"Не понятно зарегистрировался я или нет
",Нейтральная
Не внушает доверия ,Негативная
доступа нет ,Негативная
Скорость,Мусор
"на экране ПК пишется, что ""неправильная ссылка""",Негативная
cb,Мусор
"нахуй удалите регистрацию, или денег давайте за неё
",Негативная
"я из него выйду, наконец
",Негативная
Ни чего,Нейтральная
отменить регистрацию,Негативная
                                                                                                                                                                                                                                      плохо,Негативная
Сложно,Негативная
В приложении нельзя зайти через Яндекс аккаунт ,Негативная
ВСЁ,Мусор
Нет входа по логин паролю,Негативная
ЗАЧЕМ ДАННЫЕ О МЕСТОПОЛОЖЕНИИ?,Нейтральная
👌,Позитивная
улучшить,Негативная
Тупит ,Негативная
"Девушка ваша должна руки держать  не так как она это делает. Такое впечатление, что она вещает не на всю страну, а разговаривает дома с  подружками. Зв руками пусть девушка послед Они у нее почему - то между ног. Не приятно. Это не только мое мнение. И почему она сидит на столе, за которым сидел Карнаухов и, наверное Соловьев.
 ",Мусор
"Весьма не удобно,  ваш код приходит так долго, я не успеваю его даже скопировать а время когда он рабочий пролетает,  изменяйте таймер на 5 минут",Негативная
"не запрашивать ПОСТОЯННО пароль для входа и регистрации, многие хотят просто смотреть тв",Негативная
Все,Мусор
Да!!! Тоже его слышу. ,Мусор
"Очень муторно, а главное - зачем?",Негативная
хунь-янь,Мусор
Не срабатывает,Негативная
"Убрать лишнее, разрешения и тд",Негативная
Скорость ,Мусор
Скорость,Мусор
Не грузит ,Негативная
очень сложно войти практически нереально,Негативная
"Не нужно сразу заставлять людей подписываться, человек если хочет сделает это сам и для какой цели обработка персональных данных спрашивается? Может быть я хочу быть гостем, но хочу смотреть определённый видеоматериал и без регистрации не могу сделать заметку чтобы они мне приходили. Это изначально уже отталкивает от этого ресурса давно пора перейти на упрощенку для рядового пользователя. Вот если пользоваться ресурсом как блоггер, тогда конечно о таких нужно я бы сказал больше информации иметь чем телефонный номер как минимум установочные данные 🤷‍♂️",Негативная
надо упростить,Негативная
После ввода номера телефона надо смс прочитать... После чего теряются окошки... И приходится повторять сначала и получать новый код. С первого раза не выходит зарегистрироваться. ,Негативная
Код на телефон так и не пришел,Негативная
простоту,Мусор
Нифига не поняла,Нейтральная
Сделать регистрацию легче ,Негативная
параметры входа,Нейтральная
Очень много проблем с авторизацией через соцсети ,Негативная
Не могу подключиться,Негативная
не регистрироваться через что-либо личное,Негативная
звук и полный экран,Нейтральная
Не мешайте писать.,Негативная
ВСЕ,Мусор
UJDYJ,Мусор
"L
",Мусор
rjl c gthdjuj hfpf yt ghbitk/,Мусор
"вход без регистрации, просто по ссылке",Нейтральная
Не виснуть,Негативная
Плохо,Негативная
упростить доступ,Негативная
Зачем так сложно?,Нейтральная
"Сообщение вышло ""Упс, неправильная ссылка""",Негативная
"сложная навигация с сайта, не понятно, с какой страницы совершать вход",Негативная
"Скорость отправки сообщений. На email так и не пришло сообщение. Пришлось ""светить"" свой номер телефона",Негативная
"Ну это, ну заебисъ))",Позитивная
Долго не могла войти,Негативная
 Пароли ,Мусор
Отстаньте.,Негативная
"какие права
",Мусор
crap,Мусор
Ничего,Нейтральная
Отличро,Позитивная
"хорошо
",Позитивная
Проще,Негативная
"всё очень быстро, довольна, спасибо",Позитивная
Пока не знаю.рпзбираюсь)(,Нейтральная
"В целом сервис улучшите. Пропускайте видео сразу на публикацию. Хватит цензурить так сильно все. Побыстрее работайте. И хватит блокировать видосы, когда левые люди кидают претензии по авторским правам. И топы сделайте свободными, а не редактируйте их сами.",Негативная
Надо подумать ,Нейтральная
It&#039;s good it&#039;s very nice ,Мусор
Все ок!,Нейтральная
Время мало на ввод кода,Негативная
Скорость,Мусор
всё ок,Нейтральная
Незнаю ,Нейтральная
всё норм,Нейтральная
Ничего,Нейтральная
хорошо,Позитивная
"Спасибо, всё хорошо. ",Позитивная
Good,Мусор
норм,Нейтральная
чтобы код автоматически заполнялся,Нейтральная
придумывать код самому,Нейтральная
слишком заморочено ),Негативная
Пока ещё не знаю.👍,Нейтральная
Нормально,Нейтральная
Всё норм ,Нейтральная
Не понимаю зачем эти смайлики ,Негативная
Не знаю,Нейтральная
пока не знаю,Нейтральная
Ничего,Нейтральная
Страшный чёрный экран,Негативная
🤔,Мусор
ok,Нейтральная
Ок,Нейтральная
Всё ок!,Нейтральная
🖐️,Позитивная
Смотреть RT на русском из Болгарии :),Позитивная
Есть выбор? Или только с помощью кода?,Нейтральная
"Поживём, увидим.",Нейтральная
подписаться просто нажатием на клавишу,Нейтральная
Все ое,Мусор
👏👏👏,Позитивная
5+,Мусор
Все прекрасно,Позитивная
Введение кода под разрешение,Нейтральная
Grazie ,Мусор
Регистрация мешает.,Негативная
"Через вндроид не очень удобное меню регистрации, мешают выпадающие окна.",Негативная
I don’t know ,Мусор
Все ок,Нейтральная
XZ,Мусор
 быстрее отправлять sms,Негативная
Начало моей регистрации - просто прекрасно!,Позитивная
?,Мусор
Код долго ,Негативная
Хорошо,Позитивная
Хорошо,Позитивная
Все хорошо,Позитивная
"Май ру  почту  введите.  А то ВКонтакте есть, а  через  Майл Ру  нет",Негативная
Пока не знаю ,Нейтральная
Хз,Нейтральная
Окей! ,Нейтральная
Всё путём ,Позитивная
Все хорошо,Позитивная
хорошо,Позитивная
"Звук не устраивает, остальное нормально",Негативная
Мне бы помогли более подробные текстовые пояснения,Нейтральная
👍,Позитивная
Ещё не знаю😊,Нейтральная
скорость,Мусор
долго не приходил код подтверждения на почту,Негативная
"пикольно
",Позитивная
???,Мусор
Ок,Нейтральная
"хорошо
",Позитивная
Скорость загрузки ,Нейтральная
"Ok
",Нейтральная
Мне онравилась,Позитивная
ничего нельзя улучшить все идеально,Позитивная
lento,Мусор
Не грузит сериал,Негативная
-,Мусор
Goed,Мусор
"Хорошо, без излишних усложнений.",Позитивная
Зачем вообще регистрироваться??????,Нейтральная
код пришел не с первого раза,Негативная
Нормально,Нейтральная
Всё устраивает ,Нейтральная
Норм.,Нейтральная
Всё отлично,Позитивная
"Не корректный номер телефона? Вы имели в виду ""неправильный""? Давайте будем писать и говорить по-русски, может быть?",Негативная
-,Мусор
Всё отлично,Позитивная
Отлично,Позитивная
ничего,Нейтральная
время прихода кода очень длительное,Негативная
все прекрасно),Позитивная
"i am new here and i am interest for cooking video
",Мусор
Принято.,Мусор
🌚,Мусор
"Быстро и хорошо
",Позитивная
Время загрузки,Нейтральная
Всё хорошо,Позитивная
Все отлично ,Позитивная
убрать нахрен эту всплывашку,Негативная
Отправить сообщение,Мусор
Добавить вхот через гугл,Негативная
good,Мусор
Ничего ,Нейтральная
"Все нормально, быстро",Нейтральная
С первого раза затрудняюсь дать совет..,Нейтральная
Интернет ,Мусор
Легко,Позитивная
Можно и проще,Негативная
Быстрее посылать код,Негативная
"Я новенький,  на данный момент не знаю. Спасибо. ",Нейтральная
Пока  немогу  посмотреть  кино..,Негативная
"всё предельно просто, просто значит хорошо !",Позитивная
Вполне не плохо!),Позитивная
Да,Мусор
убрать регистрацию,Негативная
норм,Нейтральная
Хоршо,Позитивная
не знаю,Нейтральная
всё хорошо,Позитивная
Понятнее,Негативная
Слишком долго грузится! ,Негативная
Время для регистрации,Нейтральная
4+,Мусор
"Всё удобно, легко",Позитивная
я много еще не знаю  мне 74 года,Нейтральная
класс,Позитивная
Всё хорошо,Позитивная
Всё ништяк,Позитивная
Прохор😁 это отдельный вид искусства😅😊 Оскар Кучера вы молодец 🤗 с самого начала Я за вас👍 Карина Кокс умничка самая адекватная 💖 ,Мусор
ok,Нейтральная
No comments ,Мусор
Нет возможности регистрации по телефону и через Яндекс айди,Негативная
довольна,Позитивная
"Тормозит, можно быстрее что б грузилось",Негативная
Добавить арабский язык ,Негативная
Всё хорошо ,Позитивная
Пока не знаю,Нейтральная
Все нормально,Нейтральная
пока всё хорошо,Позитивная
"prefect good

",Мусор
"Лучше отправлять сразу ссылку на авторизацию, неудобно переключать вкладки, спасибо.",Негативная
класс,Позитивная
Ещё не смотрела,Нейтральная
не пришел код на почту,Негативная
"Хорошо

",Позитивная
Нет пределу совершенству!😉,Негативная
Очень хорошо и легко,Позитивная
Не знаю,Нейтральная
Слишком долго,Негативная
Все ок,Нейтральная
Хорошо всё ,Позитивная
Хорошо,Позитивная
Ничего,Нейтральная
Хорошо 👍 ,Позитивная
Всё ок,Нейтральная
"желаю удачи в развитии,меньше багов, больше профита. ",Нейтральная
Не грузит видео ,Негативная
"Искл код в сообщениях,а он оказался на почте!...",Негативная
много формальностей,Негативная
Не запрашивать данных о местоположении. ,Негативная
Отлично,Позитивная
Все хорошо,Позитивная
отлично,Позитивная
Все хорошо,Позитивная
"как выложить своё видео?
",Нейтральная
Пока еще не знаю,Нейтральная
нормально,Нейтральная
темный фон напрягат,Негативная
Все+,Мусор
"Автоподстановка номера на айфоне без 7, нужно руками править",Негативная
Нормально ,Нейтральная
очень хорошо,Позитивная
Хорошо и без проблем,Позитивная
Хорошо,Позитивная
Очень интересно.,Позитивная
Спаибо!,Позитивная
норм,Нейтральная
Все хорошо,Позитивная
+-,Мусор
ничего,Нейтральная
вход прямо из приложений,Нейтральная
меньше вводить капчи,Негативная
Всё нормально.,Нейтральная
Незнаю...,Нейтральная
Всё ок,Нейтральная
Класс,Позитивная
Всё хорошо,Позитивная
"Два раза почему-то пришлось регистрироваться. В прошлый раз водила телефон и регистрировалась, и почему-то второй раз пришлось то же самое сделать",Негативная
👍,Негативная
увеличить шрифт,Негативная
пока не знаю,Нейтральная
Улучшит пожалуйста весь сайт Rutube.И все настройки,Негативная
"Предлагается устаревший номер телефона, это усложняет регистрацию",Негативная
